DATE	TIME	Open	High	Low	Close	TICKVOL	VOL	SPREAD
2019.12.09	17:45:00	110990	111035	110965	111010	8642	44548	5
2019.12.09	17:50:00	111010	111065	110995	111050	7189	32320	5
2019.12.09	17:55:00	111045	111120	111010	111085	9029	48294	5
2019.12.09	18:00:00	111090	111100	111055	111070	4318	25707	5
2019.12.09	18:05:00	111070	111155	111015	111155	4005	24808	5
2019.12.10	09:00:00	110810	110900	110675	110740	18461	67856	5
2019.12.10	09:05:00	110735	110885	110685	110845	11771	45986	5
2019.12.10	09:10:00	110850	110940	110840	110930	10161	41346	5
2019.12.10	09:15:00	110925	110940	110865	110920	8400	33549	5
2019.12.10	09:20:00	110920	110990	110915	110980	9837	42388	5
2019.12.10	09:25:00	110980	110985	110940	110950	4729	19848	5
2019.12.10	09:30:00	110950	110980	110940	110965	4663	19272	5
2019.12.10	09:35:00	110965	110970	110885	110935	10838	41325	5
2019.12.10	09:40:00	110940	110940	110835	110840	11175	43043	5
2019.12.10	09:45:00	110840	110860	110790	110805	12283	49030	5
2019.12.10	09:50:00	110805	110820	110770	110770	7124	29594	5
2019.12.10	09:55:00	110770	110840	110735	110840	12679	51006	5
2019.12.10	10:00:00	110840	110925	110835	110865	18426	77948	5
2019.12.10	10:05:00	110865	110870	110605	110660	38843	165054	5
2019.12.10	10:10:00	110660	110785	110605	110770	23874	100911	5
2019.12.10	10:15:00	110770	110810	110630	110660	22514	92030	5
2019.12.10	10:20:00	110660	110680	110510	110530	25928	108368	5
2019.12.10	10:25:00	110535	110675	110440	110580	35163	145515	5
2019.12.10	10:30:00	110580	111130	110515	111010	55136	259393	5
2019.12.10	10:35:00	111005	111310	111005	111250	47201	223638	5
2019.12.10	10:40:00	111250	111305	111115	111195	25940	119376	5
2019.12.10	10:45:00	111195	111250	111050	111125	20784	97250	5
2019.12.10	10:50:00	111120	111245	111085	111150	18715	82210	5
2019.12.10	10:55:00	111150	111260	111110	111205	19363	90427	5
2019.12.10	11:00:00	111205	111330	111175	111185	24224	113411	5
2019.12.10	11:05:00	111185	111275	111135	111220	14970	62900	5
2019.12.10	11:10:00	111220	111230	111140	111180	8094	35020	5
2019.12.10	11:15:00	111185	111210	111085	111120	10599	45962	5
2019.12.10	11:20:00	111125	111145	111025	111065	16335	67908	5
2019.12.10	11:25:00	111060	111135	111055	111090	10478	44398	5
2019.12.10	11:30:00	111090	111185	111030	111115	26537	116227	5
2019.12.10	11:35:00	111115	111135	110805	110820	35999	165840	5
2019.12.10	11:40:00	110815	110925	110780	110830	25746	112772	5
2019.12.10	11:45:00	110830	110895	110780	110885	18124	80255	5
2019.12.10	11:50:00	110880	110920	110800	110880	14932	66737	5
2019.12.10	11:55:00	110875	110885	110755	110790	19137	88130	5
2019.12.10	12:00:00	110790	110820	110755	110790	12227	58521	5
2019.12.10	12:05:00	110795	110945	110765	110925	18796	80532	5
2019.12.10	12:10:00	110920	110940	110855	110895	10927	48630	5
2019.12.10	12:15:00	110895	110920	110835	110890	9046	39636	5
2019.12.10	12:20:00	110895	110935	110865	110890	7835	35945	5
